0.857,0.046
0.857,0.046
0.857,0.046
0.857,0.046
0.857,0.046
0.857,0.046
0.857,0.046
0.857,0.046
0.857,0.046
0.857,0.046
0.857,0.046
0.857,0.046
0.814,0.079
0.814,0.079
0.814,0.079
0.814,0.079
0.814,0.079
0.814,0.079
0.814,0.079
0.814,0.079
0.814,0.079
0.814,0.079
0.814,0.079
0.814,0.079
0.758,0.122
0.758,0.122
0.758,0.122
0.758,0.122
0.758,0.122
0.758,0.122
0.758,0.122
0.758,0.122
0.758,0.122
0.758,0.122
0.758,0.122
0.758,0.122
0.746,0.105
0.746,0.105
0.746,0.105
0.746,0.105
0.746,0.105
0.746,0.105
0.746,0.105
0.746,0.105
0.746,0.105
0.746,0.105
0.746,0.105
0.746,0.105
0.728,0.175
0.728,0.175
0.728,0.175
0.728,0.175
0.728,0.175
0.728,0.175
0.728,0.175
0.728,0.175
0.728,0.175
0.728,0.175
0.728,0.175
0.728,0.175
0.728,0.15
0.728,0.15
0.728,0.15
0.728,0.15
0.728,0.15
0.728,0.15
0.728,0.15
0.728,0.15
0.728,0.15
0.728,0.15
0.728,0.15
0.728,0.15
0.708,0.143
0.708,0.143
0.708,0.143
0.708,0.143
0.708,0.143
0.708,0.143
0.708,0.143
0.708,0.143
0.708,0.143
0.708,0.143
0.708,0.143
0.708,0.143
0.653,0.189
0.653,0.189
0.653,0.189
0.653,0.189
0.653,0.189
0.653,0.189
0.653,0.189
0.653,0.189
0.653,0.189
0.653,0.189
0.653,0.189
0.653,0.189
0.625,0.26
0.625,0.26
0.625,0.26
0.625,0.26
0.625,0.26
0.625,0.26
0.625,0.26
0.625,0.26
0.625,0.26
0.625,0.26
0.625,0.26
0.625,0.26
0.466,0.359
0.466,0.359
0.466,0.359
0.466,0.359
0.466,0.359
0.466,0.359
0.466,0.359
0.466,0.359
0.466,0.359
0.466,0.359
0.466,0.359
0.466,0.359
0.457,0.415
0.457,0.415
0.457,0.415
0.457,0.415
0.457,0.415
0.457,0.415
0.457,0.415
0.457,0.415
0.457,0.415
0.457,0.415
0.457,0.415
0.457,0.415
0.233,0.668
0.233,0.668
0.233,0.668
0.233,0.668
0.233,0.668
0.233,0.668
0.233,0.668
0.233,0.668
0.233,0.668
0.233,0.668
0.233,0.668
0.233,0.668
0.231,0.686
0.231,0.686
0.231,0.686
0.231,0.686
0.231,0.686
0.231,0.686
0.231,0.686
0.231,0.686
0.231,0.686
0.231,0.686
0.231,0.686
0.231,0.686
0.196,0.678
0.196,0.678
0.196,0.678
0.196,0.678
0.196,0.678
0.196,0.678
0.196,0.678
0.196,0.678
0.196,0.678
0.196,0.678
0.196,0.678
0.196,0.678
0.157,0.768
0.157,0.768
0.157,0.768
0.157,0.768
0.157,0.768
0.157,0.768
0.157,0.768
0.157,0.768
0.157,0.768
0.157,0.768
0.157,0.768
0.157,0.768
